music_singer	music_name	music_genre	music_bpm	music_musadd	music_melody	music_gender
BIGBANG	에라 모르겠다	Rap / Hip-hop	90	C:\Users\choi9\Downloads\song\091 BIGBANG-01-에라 모르겠다.mp3		M
방탄소년단	피 땀 눈물	Rap / Hip-hop	93	C:\Users\choi9\Downloads\song\092 방탄소년단-02-피 땀 눈물.mp3		M
아이유	이런 엔딩	Ballad	121.74	C:\Users\choi9\Downloads\song\093 아이유-03-이런 엔딩.mp3		F
박효신	숨	Ballad	99.23	C:\Users\choi9\Downloads\song\094 박효신-09-숨.mp3		M
박보람	넌 왜? (Feat. 서사무엘)	R&B / Soul	94.01	C:\Users\choi9\Downloads\song\095 박보람-01-넌 왜_ (Feat. 서사무엘).mp3		MIX
어반자카파	널 사랑하지 않아	Ballad	147.93	C:\Users\choi9\Downloads\song\096 어반자카파-01-널 사랑하지 않아.mp3		MIX
아이유	이 지금	Ballad	120.79	C:\Users\choi9\Downloads\song\097 아이유-01-이 지금.mp3		F
임창정	내가 저지른 사랑	Ballad	128.11	C:\Users\choi9\Downloads\song\098 임창정-11-내가 저지른 사랑.mp3		M
유승우/ 산들 (B1A4)	오빠 (PROD. Brother Su)	Ballad	110.02	C:\Users\choi9\Downloads\song\099 유승우-01-오빠 (PROD. Brother Su).mp3		M
이효리	Seoul (Feat. Killagramz)	R&B / Soul	143.01	C:\Users\choi9\Downloads\song\100 이효리-01-Seoul (Feat. Killagramz).mp3		MIX
